
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
147,20-10,20,10,30,10,111,2015-16
148,20-12,20,12,32,8,20,2014-15
149,20-13,20,13,33,7,101,2015-16
150,20-14,20,14,34,6,91,2015-11
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
151,20-15,20,15,35,5,10,2001-14
152,20-16,20,16,36,4,50,2014-09
153,20-17,20,17,37,3,248,2015-16
154,20-18,20,18,38,2,7,2015-18
155,20-19,20,19,39,1,35,2015-09
156,20-20,20,20,40,0,20,1983-08
157,21-0,21,0,21,21,66,2010-10
158,21-2,21,2,23,19,1,1926-08
159,21-3,21,3,24,18,22,2010-13
160,21-6,21,6,27,15,19,2005-07
161,21-7,21,7,28,14,81,2014-10
162,21-8,21,8,29,13,1,1993-12
163,21-9,21,9,30,12,14,2012-08
164,21-10,21,10,31,11,63,2006-02
165,21-11,21,11,32,10,3,2001-09
166,21-12,21,12,33,9,6,2007-18
167,21-13,21,13,34,8,42,2014-15
168,21-14,21,14,35,7,92,2015-13
169,21-15,21,15,36,6,2,2009-01
170,21-16,21,16,37,5,42,2010-17
171,21-17,21,17,38,4,98,2013-01
172,21-18,21,18,39,3,10,2015-08
173,21-19,21,19,40,2,26,2013-09
174,21-20,21,20,41,1,64,2013-16
175,21-21,21,21,42,0,14,1972-13
176,22-0,22,0,22,22,13,2005-10
177,22-3,22,3,25,19,8,2007-06
178,22-5,22,5,27,17,2,1993-10
179,22-6,22,6,28,16,5,2013-05
180,22-7,22,7,29,15,11,2014-10
181,22-8,22,8,30,14,1,2003-12
182,22-9,22,9,31,13,5,2014-10
183,22-10,22,10,32,12,14,2014-14
184,22-12,22,12,34,10,1,1961-05
185,22-13,22,13,35,9,14,2014-11
186,22-14,22,14,36,8,15,2013-12
187,22-15,22,15,37,7,1,1996-06
188,22-16,22,16,38,6,10,2008-12
189,22-17,22,17,39,5,18,2015-16
190,22-19,22,19,41,3,15,2015-08
191,22-20,22,20,42,2,17,2015-09
192,22-21,22,21,43,1,17,2014-08
193,23-0,23,0,23,23,39,2013-14
194,23-2,23,2,25,21,2,1963-01
195,23-3,23,3,26,20,33,2014-11
196,23-6,23,6,29,17,20,2012-15
197,23-7,23,7,30,16,65,2014-10
198,23-8,23,8,31,15,3,2008-02
199,23-9,23,9,32,14,9,2009-15
200,23-10,23,10,33,13,58,2013-18
