
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
631,39-38,39,38,77,1,2,2008-02
632,40-0,40,0,40,40,2,1973-06
633,40-3,40,3,43,37,3,1994-14
634,40-6,40,6,46,34,3,1973-13
635,40-7,40,7,47,33,16,2006-14
636,40-8,40,8,48,32,1,1994-04
637,40-9,40,9,49,31,1,1976-01
638,40-10,40,10,50,30,6,2013-12
639,40-11,40,11,51,29,1,2013-11
640,40-13,40,13,53,27,5,2007-12
641,40-14,40,14,54,26,13,2011-15
642,40-15,40,15,55,25,1,1996-17
643,40-16,40,16,56,24,3,1999-07
644,40-17,40,17,57,23,7,2015-14
645,40-18,40,18,58,22,1,2001-03
646,40-20,40,20,60,20,3,1990-15
647,40-21,40,21,61,19,9,2010-13
648,40-22,40,22,62,18,1,2004-08
649,40-23,40,23,63,17,2,2013-03
650,40-24,40,24,64,16,7,2014-09
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
651,40-26,40,26,66,14,1,2008-06
652,40-27,40,27,67,13,1,1990-11
653,40-28,40,28,68,12,3,1989-15
654,40-29,40,29,69,11,1,2000-14
655,40-30,40,30,70,10,1,1981-03
656,40-32,40,32,72,8,3,2015-02
657,40-33,40,33,73,7,2,2011-03
658,40-34,40,34,74,6,4,2003-06
659,40-35,40,35,75,5,1,2004-14
660,40-37,40,37,77,3,2,2000-07
661,40-38,40,38,78,2,2,1983-08
662,40-39,40,39,79,1,1,2002-01
663,41-0,41,0,41,41,20,2012-14
664,41-3,41,3,44,38,10,2012-05
665,41-6,41,6,47,35,6,2001-12
666,41-7,41,7,48,34,22,2013-15
667,41-9,41,9,50,32,6,2010-16
668,41-10,41,10,51,31,30,2014-13
669,41-13,41,13,54,28,13,2014-14
670,41-14,41,14,55,27,34,2015-03
671,41-16,41,16,57,25,6,1998-05
672,41-17,41,17,58,24,16,2014-09
673,41-19,41,19,60,22,4,1994-15
674,41-20,41,20,61,21,14,2014-04
675,41-21,41,21,62,20,22,2012-01
676,41-22,41,22,63,19,2,1995-16
677,41-23,41,23,64,18,5,2013-02
678,41-24,41,24,65,17,17,2008-15
679,41-26,41,26,67,15,1,1974-12
680,41-27,41,27,68,14,12,2012-05
681,41-28,41,28,69,13,12,2014-13
682,41-29,41,29,70,12,1,1983-01
683,41-30,41,30,71,11,1,1969-08
684,41-31,41,31,72,10,10,2007-06
685,41-32,41,32,73,9,1,1967-13
686,41-33,41,33,74,8,2,1960-13
687,41-34,41,34,75,7,6,2012-14
688,41-35,41,35,76,6,5,2010-07
689,41-36,41,36,77,5,2,2010-17
690,41-37,41,37,78,4,2,2008-02
691,41-38,41,38,79,3,17,2015-12
692,42-0,42,0,42,42,16,2005-12
693,42-3,42,3,45,39,6,2005-02
694,42-6,42,6,48,36,6,2009-06
695,42-7,42,7,49,35,28,2014-15
696,42-10,42,10,52,32,17,2014-05
697,42-13,42,13,55,29,7,2012-15
698,42-14,42,14,56,28,27,2015-01
699,42-15,42,15,57,27,1,2004-12
700,42-17,42,17,59,25,20,2015-05
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
701,42-18,42,18,60,24,1,1967-08
702,42-19,42,19,61,23,3,2005-01
703,42-20,42,20,62,22,17,2014-10
704,42-21,42,21,63,21,17,2014-13
705,42-22,42,22,64,20,1,1969-07
706,42-23,42,23,65,19,4,2000-16
707,42-24,42,24,66,18,10,2012-06
708,42-26,42,26,68,16,1,2001-02
709,42-27,42,27,69,15,7,2006-13
710,42-28,42,28,70,14,13,2013-13
711,42-29,42,29,71,13,1,2005-11
712,42-30,42,30,72,12,1,2006-03
713,42-31,42,31,73,11,7,1994-13
714,42-32,42,32,74,10,2,2012-08
715,42-33,42,33,75,9,2,1995-12
716,42-34,42,34,76,8,4,2011-01
717,42-35,42,35,77,7,5,1989-05
718,42-36,42,36,78,6,1,2001-04
719,42-37,42,37,79,5,2,1989-02
720,42-38,42,38,80,4,1,1954-05
721,42-39,42,39,81,3,1,2015-12
722,42-40,42,40,82,2,1,1971-01
723,42-41,42,41,83,1,2,1986-07
724,43-0,43,0,43,43,5,1999-01
725,43-3,43,3,46,40,1,1988-11
726,43-6,43,6,49,37,1,1921-03
727,43-7,43,7,50,36,4,1991-11
728,43-8,43,8,51,35,1,2013-19
729,43-10,43,10,53,33,1,1985-05
730,43-11,43,11,54,32,1,1961-11
731,43-12,43,12,55,31,1,1999-11
732,43-13,43,13,56,30,3,2012-07
733,43-14,43,14,57,29,7,2009-11
734,43-17,43,17,60,26,4,2014-05
735,43-18,43,18,61,25,1,2015-02
736,43-21,43,21,64,22,2,2014-09
737,43-22,43,22,65,21,1,2013-17
738,43-23,43,23,66,20,3,2014-09
739,43-24,43,24,67,19,7,2014-11
740,43-27,43,27,70,16,1,2002-06
741,43-28,43,28,71,15,2,1985-04
742,43-32,43,32,75,11,1,1968-10
743,43-35,43,35,78,8,1,1950-10
744,43-37,43,37,80,6,3,2014-13
745,43-38,43,38,81,5,1,1969-10
746,43-39,43,39,82,4,1,2004-12
747,43-43,43,43,86,0,1,1964-06
748,44-0,44,0,44,44,8,1995-15
749,44-3,44,3,47,41,1,1993-17
750,44-6,44,6,50,38,6,2010-05
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
751,44-7,44,7,51,37,19,2011-09
752,44-9,44,9,53,35,2,1997-13
753,44-10,44,10,54,34,9,2000-14
754,44-11,44,11,55,33,1,2005-16
755,44-13,44,13,57,31,6,2012-01
756,44-14,44,14,58,30,8,1998-06
757,44-15,44,15,59,29,1,1994-17
758,44-16,44,16,60,28,2,2015-10
759,44-17,44,17,61,27,9,2014-16
760,44-20,44,20,64,24,3,2007-13
761,44-21,44,21,65,23,6,1998-14
762,44-22,44,22,66,22,1,1967-10
763,44-23,44,23,67,21,3,2014-07
764,44-24,44,24,68,20,7,2009-16
765,44-26,44,26,70,18,2,2015-06
766,44-27,44,27,71,17,3,2002-15
767,44-28,44,28,72,16,3,1999-14
768,44-30,44,30,74,14,2,1999-13
769,44-31,44,31,75,13,2,2013-07
770,44-34,44,34,78,10,3,1990-17
771,44-37,44,37,81,7,1,1984-08
772,44-38,44,38,82,6,4,2012-16
773,44-40,44,40,84,4,1,1986-13
774,44-41,44,41,85,3,4,2012-03
775,44-42,44,42,86,2,1,1997-13
776,45-0,45,0,45,45,10,1999-14
777,45-2,45,2,47,43,1,1953-11
778,45-3,45,3,48,42,12,2012-05
779,45-6,45,6,51,39,4,1976-08
780,45-7,45,7,52,38,23,2014-18
781,45-10,45,10,55,35,15,2015-12
782,45-12,45,12,57,33,2,2009-14
783,45-13,45,13,58,32,5,2001-03
784,45-14,45,14,59,31,20,2015-11
785,45-16,45,16,61,29,2,2011-15
786,45-17,45,17,62,28,23,2015-10
787,45-19,45,19,64,26,2,2011-14
788,45-20,45,20,65,25,2,2003-15
789,45-21,45,21,66,24,25,2014-12
790,45-22,45,22,67,23,1,1979-09
791,45-23,45,23,68,22,1,2005-03
792,45-24,45,24,69,21,15,2011-16
793,45-25,45,25,70,20,1,1960-08
794,45-26,45,26,71,19,1,1959-12
795,45-27,45,27,72,18,6,2009-01
796,45-28,45,28,73,17,18,2013-13
797,45-29,45,29,74,16,2,2000-06
798,45-31,45,31,76,14,8,2012-17
799,45-33,45,33,78,12,1,1998-16
800,45-34,45,34,79,11,4,1997-08
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
801,45-35,45,35,80,10,7,2007-01
802,45-37,45,37,82,8,2,2005-10
803,45-38,45,38,83,7,5,2011-08
804,45-39,45,39,84,6,1,2002-02
805,45-41,45,41,86,4,3,2013-06
806,45-42,45,42,87,3,2,1998-11
807,45-44,45,44,89,1,1,2013-17
808,46-3,46,3,49,43,1,1976-02
809,46-6,46,6,52,40,1,1973-05
810,46-10,46,10,56,36,2,1985-19
811,46-13,46,13,59,33,1,1975-07
812,46-14,46,14,60,32,1,1985-15
813,46-16,46,16,62,30,1,2011-13
814,46-21,46,21,67,25,2,1967-11
815,46-28,46,28,74,18,1,1963-13
816,46-31,46,31,77,15,1,1979-04
817,46-34,46,34,80,12,1,2009-06
818,46-36,46,36,82,10,1,1998-12
819,46-38,46,38,84,8,1,1996-05
820,46-45,46,45,91,1,1,1962-11
821,47-0,47,0,47,47,4,1977-08
822,47-3,47,3,50,44,1,2008-09
823,47-6,47,6,53,41,1,1987-03
824,47-7,47,7,54,40,5,2015-03
825,47-10,47,10,57,37,3,2008-12
826,47-13,47,13,60,34,3,1968-11
827,47-14,47,14,61,33,4,2015-09
828,47-16,47,16,63,31,1,1961-14
829,47-17,47,17,64,30,6,2004-17
830,47-21,47,21,68,26,2,1980-12
831,47-23,47,23,70,24,1,1968-12
832,47-24,47,24,71,23,1,1978-14
833,47-25,47,25,72,22,1,1940-10
834,47-27,47,27,74,20,4,1990-01
835,47-28,47,28,75,19,1,1966-13
836,47-30,47,30,77,17,1,1995-10
837,47-31,47,31,78,16,1,1968-02
838,47-34,47,34,81,13,2,1993-14
839,47-36,47,36,83,11,1,1999-16
840,47-41,47,41,88,6,2,1989-03
841,48-0,48,0,48,48,7,2000-13
842,48-3,48,3,51,45,5,2011-05
843,48-6,48,6,54,42,1,1968-01
844,48-7,48,7,55,41,9,2000-07
845,48-10,48,10,58,38,7,2009-15
846,48-13,48,13,61,35,3,1976-09
847,48-14,48,14,62,34,7,2001-08
848,48-16,48,16,64,32,3,2011-15
849,48-17,48,17,65,31,10,2014-06
850,48-19,48,19,67,29,2,2007-16
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
851,48-20,48,20,68,28,5,2008-12
852,48-21,48,21,69,27,16,2015-04
853,48-22,48,22,70,26,3,2009-02
854,48-23,48,23,71,25,4,2015-02
855,48-24,48,24,72,24,3,2009-04
856,48-25,48,25,73,23,1,2008-02
857,48-26,48,26,74,22,2,1980-05
858,48-27,48,27,75,21,3,2009-05
859,48-28,48,28,76,20,3,2012-01
860,48-29,48,29,77,19,1,2008-03
861,48-30,48,30,78,18,2,2013-14
862,48-31,48,31,79,17,1,1969-09
863,48-34,48,34,82,14,1,1960-12
864,48-35,48,35,83,13,1,1960-06
865,48-41,48,41,89,7,1,2008-07
866,48-47,48,47,95,1,1,1983-07
867,49-0,49,0,49,49,6,2002-12
868,49-3,49,3,52,46,2,1986-17
869,49-6,49,6,55,43,2,1969-12
870,49-7,49,7,56,42,6,2003-01
871,49-9,49,9,58,40,1,2013-08
872,49-10,49,10,59,39,1,2002-13
873,49-11,49,11,60,38,1,2007-15
874,49-13,49,13,62,36,3,1975-02
875,49-14,49,14,63,35,8,2004-09
876,49-15,49,15,64,34,1,2015-18
877,49-16,49,16,65,33,1,1976-12
878,49-17,49,17,66,32,7,2015-15
879,49-19,49,19,68,30,1,2012-11
880,49-20,49,20,69,29,2,2013-09
881,49-21,49,21,70,28,11,2011-16
882,49-23,49,23,72,26,1,2011-04
883,49-24,49,24,73,25,3,2011-11
884,49-25,49,25,74,24,1,1946-02
885,49-26,49,26,75,23,3,2008-14
886,49-27,49,27,76,22,3,2014-12
887,49-28,49,28,77,21,3,2007-07
888,49-29,49,29,78,20,1,2010-09
889,49-31,49,31,80,18,5,2010-10
890,49-33,49,33,82,16,1,1971-14
891,49-34,49,34,83,15,1,1962-07
892,49-35,49,35,84,14,2,2011-10
893,49-37,49,37,86,12,2,1999-17
894,49-38,49,38,87,11,1,2004-13
895,49-39,49,39,88,10,1,1964-07
896,49-40,49,40,89,9,1,1966-12
897,49-41,49,41,90,8,1,2006-09
898,50-7,50,7,57,43,1,1940-10
899,50-10,50,10,60,40,1,1998-15
900,50-14,50,14,64,36,2,2003-13
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
901,50-17,50,17,67,33,3,2012-14
902,50-19,50,19,69,31,1,1979-07
903,50-21,50,21,71,29,3,1999-02
904,50-24,50,24,74,26,1,1985-14
905,50-28,50,28,78,22,1,1986-01
906,50-34,50,34,84,16,2,1982-07
907,50-43,50,43,93,7,1,1960-14
908,51-0,51,0,51,51,3,1989-01
909,51-3,51,3,54,48,2,1990-18
910,51-7,51,7,58,44,5,1984-15
911,51-10,51,10,61,41,3,1974-05
912,51-14,51,14,65,37,4,2007-14
913,51-16,51,16,67,35,1,2015-13
914,51-17,51,17,68,34,2,2015-03
915,51-20,51,20,71,31,1,2012-08
916,51-21,51,21,72,30,3,1980-03
917,51-23,51,23,74,28,2,2014-08
918,51-24,51,24,75,27,2,2004-12
919,51-27,51,27,78,24,2,1987-11
920,51-28,51,28,79,23,1,2013-13
921,51-29,51,29,80,22,1,2008-11
922,51-34,51,34,85,17,1,2014-08
923,51-35,51,35,86,16,1,1979-06
924,51-38,51,38,89,13,1,1958-02
925,51-42,51,42,93,9,1,1969-07
926,51-45,51,45,96,6,3,2009-17
927,51-48,51,48,99,3,2,2013-05
928,52-0,52,0,52,52,3,2014-12
929,52-3,52,3,55,49,1,2005-05
930,52-7,52,7,59,45,2,2007-08
931,52-9,52,9,61,43,2,2000-16
932,52-10,52,10,62,42,3,1981-10
933,52-13,52,13,65,39,1,1966-02
934,52-14,52,14,66,38,6,1995-01
935,52-17,52,17,69,35,3,2005-06
936,52-19,52,19,71,33,1,1975-09
937,52-20,52,20,72,32,3,2013-04
938,52-21,52,21,73,31,8,2008-16
939,52-24,52,24,76,28,2,1984-13
940,52-25,52,25,77,27,1,2002-03
941,52-27,52,27,79,25,1,2012-13
942,52-28,52,28,80,24,2,2012-04
943,52-31,52,31,83,21,3,2002-13
944,52-34,52,34,86,18,1,1991-02
945,52-35,52,35,87,17,2,1961-14
946,52-37,52,37,89,15,1,1948-08
947,52-49,52,49,101,3,2,2015-08
948,53-0,53,0,53,53,2,1961-08
949,53-7,53,7,60,46,2,1963-08
950,53-10,53,10,63,43,1,1924-09
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
951,53-14,53,14,67,39,1,1955-10
952,53-20,53,20,73,33,1,2014-10
953,53-27,53,27,80,26,1,1949-12
954,54-0,54,0,54,54,1,1927-03
955,54-7,54,7,61,47,1,1941-10
956,54-11,54,11,65,43,1,2013-15
957,54-13,54,13,67,41,1,1970-05
958,54-14,54,14,68,40,1,1951-01
959,54-31,54,31,85,23,1,2008-11
960,54-34,54,34,88,20,1,2000-07
961,54-44,54,44,98,10,1,1985-14
962,55-0,55,0,55,55,2,1961-01
963,55-7,55,7,62,48,3,2012-15
964,55-10,55,10,65,45,1,1989-19
965,55-13,55,13,68,42,1,1950-02
966,55-14,55,14,69,41,6,2014-09
967,55-17,55,17,72,38,1,1993-14
968,55-20,55,20,75,35,3,2012-09
969,55-21,55,21,76,34,3,2003-04
970,55-23,55,23,78,32,1,1988-09
971,55-24,55,24,79,31,3,1986-16
972,55-27,55,27,82,28,1,1954-04
973,55-31,55,31,86,24,1,2013-09
974,56-0,56,0,56,56,4,1958-06
975,56-3,56,3,59,53,2,1979-02
976,56-7,56,7,63,49,4,1969-17
977,56-10,56,10,66,46,4,2007-10
978,56-14,56,14,70,42,3,2014-03
979,56-17,56,17,73,39,5,1992-07
980,56-20,56,20,76,36,3,1950-03
981,56-21,56,21,77,35,2,2007-03
982,56-23,56,23,79,33,1,1989-08
983,56-28,56,28,84,28,1,1949-06
984,56-31,56,31,87,25,1,2013-14
985,56-35,56,35,91,21,1,2008-04
986,57-0,57,0,57,57,3,1962-11
987,57-21,57,21,78,36,1,1945-02
988,57-31,57,31,88,26,1,2000-05
989,57-33,57,33,90,24,1,1966-14
990,58-0,58,0,58,58,1,2012-13
991,58-14,58,14,72,44,1,1990-13
992,58-20,58,20,78,38,2,1976-14
993,58-24,58,24,82,34,1,1966-03
994,58-27,58,27,85,31,1,1956-04
995,58-37,58,37,95,21,1,1995-17
996,58-48,58,48,106,10,1,2004-11
997,59-0,59,0,59,59,4,2009-06
998,59-7,59,7,66,52,1,1963-01
999,59-13,59,13,72,46,1,1968-01
1000,59-14,59,14,73,45,3,2010-07
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
1001,59-16,59,16,75,43,1,1996-10
1002,59-21,59,21,80,38,1,1948-06
1003,59-24,59,24,83,35,1,2012-10
1004,59-28,59,28,87,31,1,2010-09
1005,60-0,60,0,60,60,2,1923-02
1006,61-7,61,7,68,54,2,1989-15
1007,61-14,61,14,75,47,1,1949-07
1008,61-17,61,17,78,44,1,1972-14
1009,61-20,61,20,81,41,1,1965-13
1010,62-0,62,0,62,62,1,1922-04
1011,62-3,62,3,65,59,1,1954-06
1012,62-7,62,7,69,55,3,2011-07
1013,62-10,62,10,72,52,1,1972-11
1014,62-14,62,14,76,48,2,1953-11
1015,62-28,62,28,90,34,1,1985-11
1016,63-7,63,7,70,56,1,1952-10
1017,63-35,63,35,98,28,1,1948-04
1018,63-40,63,40,103,23,1,1948-12
1019,64-0,64,0,64,64,1,1934-07
1020,65-20,65,20,85,45,1,1949-08
1021,65-24,65,24,89,41,1,1950-07
1022,66-0,66,0,66,66,1,1920-02
1023,66-14,66,14,80,52,1,1946-14
1024,70-27,70,27,97,43,1,1950-06
1025,72-41,72,41,113,31,1,1966-12
1026,73-0,73,0,73,73,1,1940-12
